LINE          M142       err
N3r_4641A     5.019e+06  6.491e+03
O2r_4649.13A  2.648e+06  9.670e+03
O2r_4661.63A  7.332e+05  8.617e+03
He2r_4686A    1.225e+07  1.232e+04
Ar4_4711A     1.001e+06  1.035e+06
He1r_4713A    1.853e+06  9.655e+05
Ar4_4740A     1.492e+06  8.358e+03
H1r_4861A     1.509e+08  3.493e+04
O3_4959A      2.510e+08  5.006e+04
N1_5199A+     7.260e+06  5.553e+03
C2r_5342.0A   1.296e+05  6.094e+03
Cl3_5518A     1.234e+06  6.028e+03
Cl3_5538A     1.188e+06  6.330e+03
N2r_5676.02A  0.000e+00  0.000e+00
N2r_5679.56A  1.730e+06  6.833e+03
N2_5755A      7.350e+06  7.713e+03
He1r_5876A    5.366e+07  1.557e+04
O1_6300A      1.703e+07  1.207e+04
S3_6312A      3.299e+06  6.694e+03
O1_6364A      5.629e+06  8.370e+03
C2r_6462.0A   5.048e+05  5.314e+03
N2_6548A      3.016e+08  5.124e+04
H1r_6563A     8.199e+08  1.489e+05
N2_6584A      8.993e+08  1.608e+05
He1r_6678A    1.900e+07  8.777e+03
S2_6716A      6.596e+07  1.490e+04
S2_6731A      7.562e+07  1.686e+04
Ar5_7005A     1.000e+01  1.000e+00
He1r_7065A    1.362e+07  7.452e+03
Ar3_7136A     6.770e+07  1.545e+04
He1r_7281A    2.707e+06  6.766e+03
O2_7319A+     8.301e+06  7.968e+03
O2_7330A+     6.922e+06  7.408e+03
Cl4_7531A     4.699e+05  6.352e+03
Ar3_7751A     1.759e+07  1.010e+04
O1r_7771A     4.873e+05  9.944e+03
O1r_7773A     5.632e+05  8.951e+03
O1r_7775A     1.000e+01  1.000e+00
Cl4_8046A     1.110e+06  6.456e+03
H1r_8100.0    9.447e+05  9.700e+03
H1r_8400.0    7.800e+05  8.000e+04
C1_8728A      4.743e+05  8.101e+03
H1r_8750A     4.790e+06  8.588e+03
H1r_8863A	  6.062e+06  9.723e+03
H1r_9015A     7.784e+06  1.021e+04
S3_9069A      1.705e+08  4.654e+04
H1r_9229A     1.171e+07  1.208e+04

