LINE          NGC6778       err
N3r_4641A     1.074e+07  6.237e+03
O2r_4649.13A  7.023e+06  8.950e+03
O2r_4661.63A  1.773e+06  6.680e+03
He2r_4686A    1.955e+07  1.137e+04
Ar4_4711A     2.154e+06  9.464e+04
He1r_4713A    3.816e+06  8.575e+04
Ar4_4740A     2.530e+06  6.684e+03
H1r_4861A     4.119e+08  4.830e+04
O3_4959A      7.117e+08  7.642e+04
N1_5199A+     1.507e+07  5.107e+03
C2r_5342.0A   2.712e+05  3.903e+03
Cl3_5518A     3.317e+06  4.706e+03
Cl3_5538A     2.836e+06  4.665e+03
N2r_5676.02A  6.810e+05  4.221e+03
N2r_5679.56A  3.605e+06  5.685e+03
N2_5755A      1.632e+07  7.084e+03
He1r_5876A    1.382e+08  1.954e+04
O1_6300A      3.354e+07  1.035e+04
S3_6312A      7.642e+06  5.184e+03
O1_6364A      1.108e+07  6.093e+03
C2r_6462.0A   1.042e+06  3.891e+03
N2_6548A      6.282e+08  6.719e+04
H1r_6563A     1.996e+09  1.811e+05
N2_6584A      1.889e+09  1.853e+05
He1r_6678A    4.639e+07  9.381e+03
S2_6716A      1.494e+08  1.902e+04
S2_6731A      1.609e+08  2.028e+04
Ar5_7005A     7.655e+04  2.174e+03
He1r_7065A    2.960e+07  7.121e+03
Ar3_7136A     1.292e+08  1.573e+04
He1r_7281A    6.586e+06  4.923e+03
O2_7319A+     1.862e+07  5.816e+03
O2_7330A+     1.494e+07  5.786e+03
Cl4_7531A     9.693e+05  3.945e+03
Ar3_7751A     3.326e+07  8.738e+03
O1r_7771A     1.000e+01  1.000e+00
O1r_7773A     1.232e+06  7.314e+03
O1r_7775A     1.254e+06  6.239e+03
Cl4_8046A     2.168e+06  4.135e+03
H1r_8100.0    6.401e+05  1.000e+04
H1r_8400.0    2.413e+05  3.000e+04
C1_8728A      4.601e+05  3.522e+03
H1r_8750A     1.030e+07  5.617e+03
H1r_8863A     1.392e+07  7.528e+03
H1r_9015A     1.661e+07  7.317e+03
S3_9069A      2.968e+08  4.166e+04
H1r_9229A     2.478e+07  9.122e+03


