LINE          HF22       err
N3r_4641A     1.815e+06  3.052e+03
O2r_4649.13A  2.107e+06  5.055e+03
O2r_4661.63A  6.354e+05  4.260e+03
He2r_4686A    1.660e+06  4.608e+03
Ar4_4711A     3.814e+04  2.527e+03
He1r_4713A    5.500e+05  3.328e+03
Ar4_4740A     1.563e+05  4.712e+03
H1r_4861A     8.382e+07  1.154e+04
O3_4959A      4.628e+07  8.412e+03
N1_5199A+     1.027e+06  2.348e+03
C2r_5342.0A   1.802e+05  2.802e+03
Cl3_5518A     2.368e+05  3.095e+03
Cl3_5538A     1.902e+05  3.400e+03
N2r_5676.02A  2.110e+05  3.890e+03
N2r_5679.56A  7.731e+05  4.084e+03
N2_5755A      9.253e+05  3.237e+03
He1r_5876A    2.865e+07  5.634e+03
O1_6300A      5.544e+05  4.322e+03
S3_6312A      3.049e+05  3.014e+03
O1_6364A      1.669e+05  3.081e+03
C2r_6462.0A   5.998e+05  3.047e+03
N2_6548A      1.641e+07  4.316e+03
H1r_6563A     3.903e+08  3.724e+04
N2_6584A      5.048e+07  8.084e+03
He1r_6678A    9.356e+06  3.321e+03
S2_6716A      6.645e+06  3.255e+03
S2_6731A      5.805e+06  3.093e+03
Ar5_7005A     1.000e+01  1.000e+00
He1r_7065A    3.174e+06  2.754e+03
Ar3_7136A     7.890e+06  2.976e+03
He1r_7281A    8.828e+05  2.670e+03
O2_7319A+     3.070e+06  2.662e+03
O2_7330A+     2.531e+06  3.262e+03
Cl4_7531A     4.179e+04  2.881e+03
Ar3_7751A     1.985e+06  4.519e+03
O1r_7771A     6.696e+05  3.141e+05
O1r_7773A     1.379e+05  2.774e+05
O1r_7775A     8.729e+05  1.032e+05
Cl4_8046A     7.239e+04  2.326e+03
H1r_8100.0    3.908e+05  7.000e+03
H1r_8400.0    2.593e+05  1.000e+04
C1_8728A      7.732e+04  2.658e+03
H1r_8750A     1.718e+06  3.149e+03
H1r_8863A     2.257e+06  4.762e+03
H1r_9015A     2.239e+06  3.468e+03
S3_9069A      2.059e+07  5.456e+03
H1r_9229A     4.228e+06  3.954e+03

